Id,Value,IngredientId,NutrientTypeId
a7307db6-9abf-454f-94d7-8effff06deff,57.2,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073ac45-2822-11f0-8a90-d85ed33237df
aa51f9ce-18d6-4308-bf73-bc6304d52d10,3.2,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073d294-2822-11f0-8a90-d85ed33237df
b19eb891-fb4f-41b4-9391-89f24c98286f,0.2,3845c68a-ac78-4587-a56b-0e2028f7a9cf,5073e882-2822-11f0-8a90-d85ed33237df
b3104b8a-8ddf-4c6b-9047-bc22062f1409,0.1,3845c68a-ac78-4587-a56b-0e2028f7a9cf,5073ec15-2822-11f0-8a90-d85ed33237df
b5366b0f-0334-4b83-b2b3-8e81f1f742f6,0.01,bdf92605-5be0-462a-9356-57a646a3e5a1,5073a878-2822-11f0-8a90-d85ed33237df
b73ed012-1784-4514-9620-6730ec34adae,44.0,3845c68a-ac78-4587-a56b-0e2028f7a9cf,5073c19b-2822-11f0-8a90-d85ed33237df
b8094c5e-1037-437e-9fd9-4d49285393cf,128.0,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073e6c3-2822-11f0-8a90-d85ed33237df
ba7cd339-2bf9-4724-9775-e4b9037aadab,245.0,3845c68a-ac78-4587-a56b-0e2028f7a9cf,5073df15-2822-11f0-8a90-d85ed33237df
bce07075-650d-4126-a32e-5c807548abde,0.02,bdf92605-5be0-462a-9356-57a646a3e5a1,5073ea4a-2822-11f0-8a90-d85ed33237df
c1dfc0f7-91ad-4f99-98bb-61e6088b01c7,264.0,bdf92605-5be0-462a-9356-57a646a3e5a1,507374f8-2822-11f0-8a90-d85ed33237df
c26ea195-4830-426a-a309-8a8d40c8ed5e,0.8,bdf92605-5be0-462a-9356-57a646a3e5a1,50738f5c-2822-11f0-8a90-d85ed33237df
c2dc05af-4b78-475f-8a29-ed17f52f260d,96.0,3845c68a-ac78-4587-a56b-0e2028f7a9cf,5073bcf4-2822-11f0-8a90-d85ed33237df
c52767b3-1649-4fee-9bb6-8f1671b36b6e,16.0,bdf92605-5be0-462a-9356-57a646a3e5a1,5073f05a-2822-11f0-8a90-d85ed33237df
c8c48775-c277-40fb-9d9d-8f7466d8f16d,0.6,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073c975-2822-11f0-8a90-d85ed33237df
